@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
121,438,0,115,121,0.487288,1,0.792043,1,0.207957,0.883956,0.820475,1.218807,0.000168
122,438,0,114,122,0.483051,1,0.793478,1,0.206522,0.884848,0.818991,1.221014,0.000178
123,438,0,113,123,0.478814,1,0.794918,1,0.205082,0.885743,0.817507,1.22323,0.000179
124,438,0,112,124,0.474576,1,0.796364,1,0.203636,0.88664,0.816024,1.225455,0.000181
125,438,0,111,125,0.470339,1,0.797814,1,0.202186,0.887538,0.81454,1.227687,0.000182
126,438,0,110,126,0.466102,1,0.79927,1,0.20073,0.888438,0.813056,1.229927,0.000188
127,438,0,109,127,0.461864,1,0.800731,1,0.199269,0.88934,0.811573,1.232176,0.000188
128,438,0,108,128,0.457627,1,0.802198,1,0.197802,0.890244,0.810089,1.234432,0.00019
129,438,0,107,129,0.45339,1,0.80367,1,0.19633,0.89115,0.808605,1.236697,0.000195
130,438,0,106,130,0.449153,1,0.805147,1,0.194853,0.892057,0.807122,1.238971,0.000203
131,438,0,105,131,0.444915,1,0.80663,1,0.19337,0.892966,0.805638,1.241252,0.000206
132,438,0,104,132,0.440678,1,0.808118,1,0.191882,0.893878,0.804154,1.243542,0.00022
133,438,0,103,133,0.436441,1,0.809612,1,0.190388,0.894791,0.802671,1.245841,0.000223
134,438,0,102,134,0.432203,1,0.811111,1,0.188889,0.895706,0.801187,1.248148,0.000227
135,438,0,101,135,0.427966,1,0.812616,1,0.187384,0.896622,0.799703,1.250464,0.000259
136,438,0,100,136,0.423729,1,0.814126,1,0.185874,0.897541,0.79822,1.252788,0.000278
137,438,0,99,137,0.419492,1,0.815642,1,0.184358,0.898462,0.796736,1.255121,0.000296
138,438,0,98,138,0.415254,1,0.817164,1,0.182836,0.899384,0.795252,1.257463,0.000298
139,438,0,97,139,0.411017,1,0.818692,1,0.181308,0.900308,0.793769,1.259813,0.000313
140,438,0,96,140,0.40678,1,0.820225,1,0.179775,0.901235,0.792285,1.262172,0.000316
141,438,0,95,141,0.402542,1,0.821764,1,0.178236,0.902163,0.790801,1.26454,0.000321
142,438,0,94,142,0.398305,1,0.823308,1,0.176692,0.903093,0.789318,1.266917,0.000332
143,438,0,93,143,0.394068,1,0.824859,1,0.175141,0.904025,0.787834,1.269303,0.000336
144,438,0,92,144,0.389831,1,0.826415,1,0.173585,0.904959,0.78635,1.271698,0.000346
145,437,1,92,144,0.389831,0.997717,0.826087,0.997717,0.173913,0.903826,0.784866,1.271193,0.000347
146,437,1,91,145,0.385593,0.997717,0.827652,0.997717,0.172348,0.904762,0.783383,1.273601,0.000353
147,437,1,90,146,0.381356,0.997717,0.829222,0.997717,0.170778,0.905699,0.781899,1.276017,0.00036
